price,,,,,,count,,累计百分比
349,,,0,100,"[0,100)",25,2%,2%
449,,,100,200,"[100,200)",29,3%,5%
409,,,200,300,"[200,300)",98,9%,14%
379,,,300,400,"[300,400)",186,17%,31%
319,,,400,500,"[400,500)",156,14%,46%
389,,,500,600,"[500,600)",133,12%,58%
369,,,600,700,"[600,700)",78,7%,65%
599,,,700,800,"[700,800)",81,7%,73%
499,,,800,900,"[800,900)",54,5%,78%
98,,,900,1000,"[900,1000)",35,3%,81%
39,,,1000,1500,"[1000,1500)",95,9%,90%
66,,,1500,2000,"[1500,2000)",25,2%,92%
22.5,,,2000,2500,"[2000,2500)",5,0%,93%
379,,,2500,3000,"[2500,3000)",6,1%,93%
409,,,3000,3500,"[3000,3500)",13,1%,94%
439,,,3500,4000,"[3500,4000)",24,2%,97%
509,,,4000,4500,"[4000,4500)",8,1%,97%
529,,,4500,5000,"[4500,5000)",30,3%,100%
359,,,,,,,,
375,,,,,,,,
399,,,,,,,,
299,,,,,,,,
339,,,,,,,,
379,,,,,,,,
799,,,,,,,,
819,,,,,,,,
839,,,,,,,,
909,,,,,,,,
929,,,,,,,,
999,,,,,,,,
1128,,,,,,,,
1159,,,,,,,,
299,,,,,,,,
288,,,,,,,,
328,,,,,,,,
398,,,,,,,,
448,,,,,,,,
788,,,,,,,,
349,,,,,,,,
359,,,,,,,,
729,,,,,,,,
749,,,,,,,,
359,,,,,,,,
369,,,,,,,,
1060,,,,,,,,
1080,,,,,,,,
499,,,,,,,,
599,,,,,,,,
749,,,,,,,,
39,,,,,,,,
1499,,,,,,,,
779,,,,,,,,
879,,,,,,,,
839,,,,,,,,
917,,,,,,,,
138,,,,,,,,
209,,,,,,,,
255,,,,,,,,
209,,,,,,,,
255,,,,,,,,
259,,,,,,,,
639,,,,,,,,
289,,,,,,,,
389,,,,,,,,
449,,,,,,,,
489,,,,,,,,
589,,,,,,,,
499,,,,,,,,
539,,,,,,,,
249,,,,,,,,
1398,,,,,,,,
1299,,,,,,,,
599,,,,,,,,
599,,,,,,,,
399,,,,,,,,
599,,,,,,,,
699,,,,,,,,
569,,,,,,,,
739,,,,,,,,
699,,,,,,,,
899,,,,,,,,
1149,,,,,,,,
1949,,,,,,,,
399,,,,,,,,
899,,,,,,,,
1080,,,,,,,,
359,,,,,,,,
379,,,,,,,,
389,,,,,,,,
299,,,,,,,,
388,,,,,,,,
539,,,,,,,,
588,,,,,,,,
838,,,,,,,,
888,,,,,,,,
1280,,,,,,,,
1380,,,,,,,,
1480,,,,,,,,
1680,,,,,,,,
380,,,,,,,,
480,,,,,,,,
580,,,,,,,,
980,,,,,,,,
480,,,,,,,,
580,,,,,,,,
680,,,,,,,,
1080,,,,,,,,
580,,,,,,,,
680,,,,,,,,
780,,,,,,,,
1180,,,,,,,,
580,,,,,,,,
680,,,,,,,,
780,,,,,,,,
1180,,,,,,,,
499,,,,,,,,
499,,,,,,,,
379,,,,,,,,
449,,,,,,,,
799,,,,,,,,
899,,,,,,,,
1092,,,,,,,,
3900,,,,,,,,
3980,,,,,,,,
199,,,,,,,,
399,,,,,,,,
369,,,,,,,,
299,,,,,,,,
399,,,,,,,,
429,,,,,,,,
459,,,,,,,,
759,,,,,,,,
369,,,,,,,,
329,,,,,,,,
279,,,,,,,,
1169,,,,,,,,
259,,,,,,,,
288,,,,,,,,
308,,,,,,,,
309,,,,,,,,
319,,,,,,,,
679,,,,,,,,
699,,,,,,,,
499,,,,,,,,
539,,,,,,,,
579,,,,,,,,
679,,,,,,,,
599,,,,,,,,
639,,,,,,,,
699,,,,,,,,
789,,,,,,,,
699,,,,,,,,
799,,,,,,,,
899,,,,,,,,
499,,,,,,,,
599,,,,,,,,
549,,,,,,,,
699,,,,,,,,
298,,,,,,,,
249,,,,,,,,
359,,,,,,,,
339,,,,,,,,
369,,,,,,,,
389,,,,,,,,
788,,,,,,,,
158,,,,,,,,
198,,,,,,,,
218,,,,,,,,
248,,,,,,,,
208,,,,,,,,
268,,,,,,,,
298,,,,,,,,
348,,,,,,,,
289,,,,,,,,
369,,,,,,,,
429,,,,,,,,
349,,,,,,,,
399,,,,,,,,
459,,,,,,,,
499,,,,,,,,
519,,,,,,,,
559,,,,,,,,
699,,,,,,,,
799,,,,,,,,
949,,,,,,,,
3099,,,,,,,,
2999,,,,,,,,
3499,,,,,,,,
259,,,,,,,,
289,,,,,,,,
339,,,,,,,,
289,,,,,,,,
329,,,,,,,,
359,,,,,,,,
349,,,,,,,,
399,,,,,,,,
429,,,,,,,,
299,,,,,,,,
359,,,,,,,,
459,,,,,,,,
519,,,,,,,,
559,,,,,,,,
659,,,,,,,,
569,,,,,,,,
609,,,,,,,,
689,,,,,,,,
3250,,,,,,,,
3350,,,,,,,,
3450,,,,,,,,
3650,,,,,,,,
329,,,,,,,,
319,,,,,,,,
369,,,,,,,,
389,,,,,,,,
419,,,,,,,,
788,,,,,,,,
485,,,,,,,,
699,,,,,,,,
699,,,,,,,,
799,,,,,,,,
750,,,,,,,,
850,,,,,,,,
849,,,,,,,,
949,,,,,,,,
899,,,,,,,,
999,,,,,,,,
439,,,,,,,,
439,,,,,,,,
469,,,,,,,,
799,,,,,,,,
839,,,,,,,,
1199,,,,,,,,
1269,,,,,,,,
699,,,,,,,,
779,,,,,,,,
849,,,,,,,,
999,,,,,,,,
259,,,,,,,,
299,,,,,,,,
329,,,,,,,,
369,,,,,,,,
379,,,,,,,,
419,,,,,,,,
389,,,,,,,,
349,,,,,,,,
329,,,,,,,,
299,,,,,,,,
1299,,,,,,,,
1398,,,,,,,,
1329,,,,,,,,
1428,,,,,,,,
258,,,,,,,,
338,,,,,,,,
338,,,,,,,,
388,,,,,,,,
9.9,,,,,,,,
9.9,,,,,,,,
15.9,,,,,,,,
9.9,,,,,,,,
9.9,,,,,,,,
3980,,,,,,,,
3980,,,,,,,,
1380,,,,,,,,
1430,,,,,,,,
1480,,,,,,,,
1980,,,,,,,,
2030,,,,,,,,
2080,,,,,,,,
158,,,,,,,,
188,,,,,,,,
538,,,,,,,,
899,,,,,,,,
188,,,,,,,,
218,,,,,,,,
248,,,,,,,,
278,,,,,,,,
249,,,,,,,,
199,,,,,,,,
279,,,,,,,,
600,,,,,,,,
650,,,,,,,,
359,,,,,,,,
389,,,,,,,,
389,,,,,,,,
439,,,,,,,,
469,,,,,,,,
309,,,,,,,,
289,,,,,,,,
789,,,,,,,,
1229,,,,,,,,
629,,,,,,,,
259,,,,,,,,
370,,,,,,,,
410,,,,,,,,
450,,,,,,,,
420,,,,,,,,
400,,,,,,,,
440,,,,,,,,
480,,,,,,,,
450,,,,,,,,
1280,,,,,,,,
1380,,,,,,,,
1480,,,,,,,,
1680,,,,,,,,
1380,,,,,,,,
1480,,,,,,,,
1580,,,,,,,,
1780,,,,,,,,
2799,,,,,,,,
2999,,,,,,,,
899,,,,,,,,
999,,,,,,,,
1099,,,,,,,,
378,,,,,,,,
288,,,,,,,,
268,,,,,,,,
228,,,,,,,,
278,,,,,,,,
308,,,,,,,,
328,,,,,,,,
398,,,,,,,,
489,,,,,,,,
299,,,,,,,,
168,,,,,,,,
738,,,,,,,,
1098,,,,,,,,
549,,,,,,,,
788,,,,,,,,
788,,,,,,,,
1098,,,,,,,,
788,,,,,,,,
738,,,,,,,,
549,,,,,,,,
1098,,,,,,,,
549,,,,,,,,
549,,,,,,,,
549,,,,,,,,
1699,,,,,,,,
1098,,,,,,,,
738,,,,,,,,
549,,,,,,,,
1399,,,,,,,,
788,,,,,,,,
1399,,,,,,,,
988,,,,,,,,
285,,,,,,,,
335,,,,,,,,
228,,,,,,,,
19.9,,,,,,,,
9.9,,,,,,,,
9.9,,,,,,,,
18,,,,,,,,
28,,,,,,,,
249,,,,,,,,
199,,,,,,,,
288,,,,,,,,
299,,,,,,,,
399,,,,,,,,
1280,,,,,,,,
1580,,,,,,,,
425,,,,,,,,
399,,,,,,,,
335,,,,,,,,
158,,,,,,,,
178,,,,,,,,
158,,,,,,,,
188,,,,,,,,
1099,,,,,,,,
1149,,,,,,,,
1199,,,,,,,,
499,,,,,,,,
599,,,,,,,,
799,,,,,,,,
128,,,,,,,,
168,,,,,,,,
199,,,,,,,,
153,,,,,,,,
193,,,,,,,,
229,,,,,,,,
439,,,,,,,,
479,,,,,,,,
519,,,,,,,,
669,,,,,,,,
699,,,,,,,,
739,,,,,,,,
459,,,,,,,,
429,,,,,,,,
439,,,,,,,,
399,,,,,,,,
488,,,,,,,,
1380,,,,,,,,
1480,,,,,,,,
558,,,,,,,,
699,,,,,,,,
458,,,,,,,,
899,,,,,,,,
1288,,,,,,,,
1688,,,,,,,,
499,,,,,,,,
599,,,,,,,,
339,,,,,,,,
369,,,,,,,,
399,,,,,,,,
169,,,,,,,,
209,,,,,,,,
249,,,,,,,,
698,,,,,,,,
738,,,,,,,,
778,,,,,,,,
799,,,,,,,,
899,,,,,,,,
428,,,,,,,,
428,,,,,,,,
528,,,,,,,,
528,,,,,,,,
968,,,,,,,,
598,,,,,,,,
668,,,,,,,,
968,,,,,,,,
668,,,,,,,,
748,,,,,,,,
748,,,,,,,,
498,,,,,,,,
648,,,,,,,,
748,,,,,,,,
428,,,,,,,,
498,,,,,,,,
568,,,,,,,,
648,,,,,,,,
748,,,,,,,,
1048,,,,,,,,
868,,,,,,,,
1048,,,,,,,,
898,,,,,,,,
329,,,,,,,,
399,,,,,,,,
399,,,,,,,,
449,,,,,,,,
489,,,,,,,,
789,,,,,,,,
1228,,,,,,,,
309,,,,,,,,
289,,,,,,,,
259,,,,,,,,
629,,,,,,,,
209,,,,,,,,
249,,,,,,,,
269,,,,,,,,
309,,,,,,,,
399,,,,,,,,
439,,,,,,,,
569,,,,,,,,
609,,,,,,,,
980,,,,,,,,
1180,,,,,,,,
1380,,,,,,,,
598,,,,,,,,
668,,,,,,,,
748,,,,,,,,
848,,,,,,,,
898,,,,,,,,
968,,,,,,,,
1048,,,,,,,,
1148,,,,,,,,
838,,,,,,,,
568,,,,,,,,
748,,,,,,,,
748,,,,,,,,
498,,,,,,,,
838,,,,,,,,
698,,,,,,,,
748,,,,,,,,
538,,,,,,,,
748,,,,,,,,
538,,,,,,,,
538,,,,,,,,
468,,,,,,,,
468,,,,,,,,
468,,,,,,,,
698,,,,,,,,
698,,,,,,,,
538,,,,,,,,
538,,,,,,,,
538,,,,,,,,
538,,,,,,,,
538,,,,,,,,
838,,,,,,,,
998,,,,,,,,
498,,,,,,,,
568,,,,,,,,
748,,,,,,,,
838,,,,,,,,
998,,,,,,,,
1249,,,,,,,,
1339,,,,,,,,
1279,,,,,,,,
1369,,,,,,,,
479,,,,,,,,
639,,,,,,,,
499,,,,,,,,
559,,,,,,,,
1288,,,,,,,,
1688,,,,,,,,
379,,,,,,,,
429,,,,,,,,
399,,,,,,,,
409,,,,,,,,
359,,,,,,,,
459,,,,,,,,
449,,,,,,,,
479,,,,,,,,
509,,,,,,,,
599,,,,,,,,
679,,,,,,,,
729,,,,,,,,
399,,,,,,,,
439,,,,,,,,
429,,,,,,,,
539,,,,,,,,
479,,,,,,,,
499,,,,,,,,
8.9,,,,,,,,
1198,,,,,,,,
939,,,,,,,,
599,,,,,,,,
499,,,,,,,,
479,,,,,,,,
489,,,,,,,,
569,,,,,,,,
439,,,,,,,,
489,,,,,,,,
279,,,,,,,,
319,,,,,,,,
389,,,,,,,,
429,,,,,,,,
449,,,,,,,,
489,,,,,,,,
559,,,,,,,,
599,,,,,,,,
380,,,,,,,,
480,,,,,,,,
580,,,,,,,,
980,,,,,,,,
155,,,,,,,,
318,,,,,,,,
295,,,,,,,,
398,,,,,,,,
235,,,,,,,,
398,,,,,,,,
318,,,,,,,,
498,,,,,,,,
748,,,,,,,,
798,,,,,,,,
948,,,,,,,,
568,,,,,,,,
498,,,,,,,,
4888,,,,,,,,
5388,,,,,,,,
4888,,,,,,,,
4888,,,,,,,,
5388,,,,,,,,
299,,,,,,,,
329,,,,,,,,
359,,,,,,,,
389,,,,,,,,
499,,,,,,,,
529,,,,,,,,
559,,,,,,,,
589,,,,,,,,
329,,,,,,,,
359,,,,,,,,
529,,,,,,,,
559,,,,,,,,
3250,,,,,,,,
3350,,,,,,,,
3450,,,,,,,,
3650,,,,,,,,
349,,,,,,,,
399,,,,,,,,
349,,,,,,,,
408,,,,,,,,
439,,,,,,,,
448,,,,,,,,
399,,,,,,,,
459,,,,,,,,
439,,,,,,,,
25,,,,,,,,
619,,,,,,,,
1180,,,,,,,,
335,,,,,,,,
419,,,,,,,,
379,,,,,,,,
268,,,,,,,,
228,,,,,,,,
198,,,,,,,,
399,,,,,,,,
568,,,,,,,,
798,,,,,,,,
1098,,,,,,,,
1198,,,,,,,,
1198,,,,,,,,
1498,,,,,,,,
399,,,,,,,,
1198,,,,,,,,
599,,,,,,,,
229,,,,,,,,
309,,,,,,,,
359,,,,,,,,
399,,,,,,,,
419,,,,,,,,
469,,,,,,,,
99,,,,,,,,
3250,,,,,,,,
3350,,,,,,,,
3450,,,,,,,,
3650,,,,,,,,
680,,,,,,,,
780,,,,,,,,
880,,,,,,,,
1080,,,,,,,,
1398,,,,,,,,
1598,,,,,,,,
1880,,,,,,,,
88,,,,,,,,
1298,,,,,,,,
1088,,,,,,,,
649,,,,,,,,
599,,,,,,,,
589,,,,,,,,
559,,,,,,,,
389,,,,,,,,
369,,,,,,,,
799,,,,,,,,
879,,,,,,,,
949,,,,,,,,
899,,,,,,,,
979,,,,,,,,
1049,,,,,,,,
538,,,,,,,,
698,,,,,,,,
838,,,,,,,,
828,,,,,,,,
528,,,,,,,,
698,,,,,,,,
598,,,,,,,,
359,,,,,,,,
409,,,,,,,,
439,,,,,,,,
509,,,,,,,,
199,,,,,,,,
269,,,,,,,,
319,,,,,,,,
199,,,,,,,,
249,,,,,,,,
279,,,,,,,,
899,,,,,,,,
1180,,,,,,,,
425,,,,,,,,
475,,,,,,,,
399,,,,,,,,
459,,,,,,,,
529,,,,,,,,
599,,,,,,,,
659,,,,,,,,
729,,,,,,,,
398,,,,,,,,
468,,,,,,,,
598,,,,,,,,
398,,,,,,,,
468,,,,,,,,
369,,,,,,,,
389,,,,,,,,
459,,,,,,,,
429,,,,,,,,
589,,,,,,,,
409,,,,,,,,
409,,,,,,,,
398,,,,,,,,
598,,,,,,,,
768,,,,,,,,
828,,,,,,,,
398,,,,,,,,
598,,,,,,,,
698,,,,,,,,
599,,,,,,,,
659,,,,,,,,
639,,,,,,,,
699,,,,,,,,
398,,,,,,,,
468,,,,,,,,
598,,,,,,,,
398,,,,,,,,
468,,,,,,,,
999,,,,,,,,
1119,,,,,,,,
335,,,,,,,,
385,,,,,,,,
425,,,,,,,,
599,,,,,,,,
25,,,,,,,,
398,,,,,,,,
468,,,,,,,,
598,,,,,,,,
398,,,,,,,,
468,,,,,,,,
3980,,,,,,,,
4080,,,,,,,,
125,,,,,,,,
288,,,,,,,,
295,,,,,,,,
368,,,,,,,,
95,,,,,,,,
288,,,,,,,,
295,,,,,,,,
4980,,,,,,,,
3980,,,,,,,,
2580,,,,,,,,
1980,,,,,,,,
1980,,,,,,,,
279,,,,,,,,
37.5,,,,,,,,
695,,,,,,,,
299,,,,,,,,
379,,,,,,,,
379,,,,,,,,
459,,,,,,,,
349,,,,,,,,
429,,,,,,,,
4888,,,,,,,,
5388,,,,,,,,
2380,,,,,,,,
2280,,,,,,,,
780,,,,,,,,
880,,,,,,,,
980,,,,,,,,
1180,,,,,,,,
998,,,,,,,,
698,,,,,,,,
649,,,,,,,,
799,,,,,,,,
198,,,,,,,,
899,,,,,,,,
1180,,,,,,,,
499,,,,,,,,
559,,,,,,,,
619,,,,,,,,
218,,,,,,,,
268,,,,,,,,
298,,,,,,,,
258,,,,,,,,
308,,,,,,,,
338,,,,,,,,
378,,,,,,,,
418,,,,,,,,
468,,,,,,,,
528,,,,,,,,
768,,,,,,,,
998,,,,,,,,
528,,,,,,,,
468,,,,,,,,
538,,,,,,,,
399,,,,,,,,
459,,,,,,,,
499,,,,,,,,
559,,,,,,,,
699,,,,,,,,
759,,,,,,,,
1288,,,,,,,,
1088,,,,,,,,
499,,,,,,,,
539,,,,,,,,
659,,,,,,,,
699,,,,,,,,
819,,,,,,,,
859,,,,,,,,
999,,,,,,,,
1119,,,,,,,,
1159,,,,,,,,
899,,,,,,,,
1199,,,,,,,,
899,,,,,,,,
1199,,,,,,,,
499,,,,,,,,
599,,,,,,,,
939,,,,,,,,
1199,,,,,,,,
538,,,,,,,,
598,,,,,,,,
598,,,,,,,,
398,,,,,,,,
468,,,,,,,,
538,,,,,,,,
698,,,,,,,,
398,,,,,,,,
398,,,,,,,,
538,,,,,,,,
398,,,,,,,,
538,,,,,,,,
468,,,,,,,,
598,,,,,,,,
698,,,,,,,,
498,,,,,,,,
748,,,,,,,,
868,,,,,,,,
1048,,,,,,,,
498,,,,,,,,
568,,,,,,,,
369,,,,,,,,
299,,,,,,,,
299,,,,,,,,
699,,,,,,,,
799,,,,,,,,
899,,,,,,,,
1180,,,,,,,,
380,,,,,,,,
450,,,,,,,,
449,,,,,,,,
29.9,,,,,,,,
328,,,,,,,,
368,,,,,,,,
398,,,,,,,,
418,,,,,,,,
3680,,,,,,,,
3880,,,,,,,,
259,,,,,,,,
299,,,,,,,,
698,,,,,,,,
299,,,,,,,,
399,,,,,,,,
429,,,,,,,,
200,,,,,,,,
3580,,,,,,,,
3780,,,,,,,,
599,,,,,,,,
659,,,,,,,,
125,,,,,,,,
268,,,,,,,,
95,,,,,,,,
268,,,,,,,,
155,,,,,,,,
1380,,,,,,,,
799,,,,,,,,
899,,,,,,,,
940,,,,,,,,
1140,,,,,,,,
1180,,,,,,,,
1240,,,,,,,,
1280,,,,,,,,
538,,,,,,,,
528,,,,,,,,
768,,,,,,,,
828,,,,,,,,
528,,,,,,,,
468,,,,,,,,
538,,,,,,,,
289,,,,,,,,
499,,,,,,,,
499,,,,,,,,
549,,,,,,,,
599,,,,,,,,
299,,,,,,,,
329,,,,,,,,
349,,,,,,,,
379,,,,,,,,
258,,,,,,,,
399,,,,,,,,
699,,,,,,,,
749,,,,,,,,
779,,,,,,,,
499,,,,,,,,
529,,,,,,,,
569,,,,,,,,
599,,,,,,,,
1480,,,,,,,,
1580,,,,,,,,
1680,,,,,,,,
1980,,,,,,,,
59,,,,,,,,
2480,,,,,,,,
399,,,,,,,,
758,,,,,,,,
439,,,,,,,,
459,,,,,,,,
598,,,,,,,,
399,,,,,,,,
409,,,,,,,,
369,,,,,,,,
379,,,,,,,,
799,,,,,,,,
899,,,,,,,,
899,,,,,,,,
1199,,,,,,,,
679,,,,,,,,
759,,,,,,,,
799,,,,,,,,
299,,,,,,,,
329,,,,,,,,
329,,,,,,,,
369,,,,,,,,
439,,,,,,,,
479,,,,,,,,
469,,,,,,,,
509,,,,,,,,
499,,,,,,,,
680,,,,,,,,
780,,,,,,,,
980,,,,,,,,
699,,,,,,,,
699,,,,,,,,
699,,,,,,,,
769,,,,,,,,
789,,,,,,,,
799,,,,,,,,
839,,,,,,,,
859,,,,,,,,
399,,,,,,,,
359,,,,,,,,
459,,,,,,,,
499,,,,,,,,
759,,,,,,,,
799,,,,,,,,
1680,,,,,,,,
1800,,,,,,,,
1980,,,,,,,,
398,,,,,,,,
698,,,,,,,,
838,,,,,,,,
998,,,,,,,,
528,,,,,,,,
598,,,,,,,,
698,,,,,,,,
299,,,,,,,,
359,,,,,,,,
499,,,,,,,,
559,,,,,,,,
399,,,,,,,,
459,,,,,,,,
1880,,,,,,,,
1899,,,,,,,,
1930,,,,,,,,
3830,,,,,,,,
3830,,,,,,,,
4530,,,,,,,,
4530,,,,,,,,
3830,,,,,,,,
3830,,,,,,,,
4530,,,,,,,,
4530,,,,,,,,
398,,,,,,,,
598,,,,,,,,
838,,,,,,,,
998,,,,,,,,
398,,,,,,,,
468,,,,,,,,
538,,,,,,,,
399,,,,,,,,
439,,,,,,,,
459,,,,,,,,
529,,,,,,,,
478,,,,,,,,
518,,,,,,,,
538,,,,,,,,
608,,,,,,,,
4888,,,,,,,,
5388,,,,,,,,
4999,,,,,,,,
4999,,,,,,,,
4999,,,,,,,,
5499,,,,,,,,
4999,,,,,,,,
4999,,,,,,,,
4999,,,,,,,,
4999,,,,,,,,
4999,,,,,,,,
4999,,,,,,,,
5499,,,,,,,,
4999,,,,,,,,
4999,,,,,,,,
4999,,,,,,,,
4999,,,,,,,,
5499,,,,,,,,
1699,,,,,,,,
1599,,,,,,,,
1499,,,,,,,,
719,,,,,,,,
799,,,,,,,,
869,,,,,,,,
1019,,,,,,,,
799,,,,,,,,
849,,,,,,,,
899,,,,,,,,
599,,,,,,,,
649,,,,,,,,
699,,,,,,,,
4288,,,,,,,,
4288,,,,,,,,
398,,,,,,,,
368,,,,,,,,
348,,,,,,,,
398,,,,,,,,
468,,,,,,,,
438,,,,,,,,
389,,,,,,,,
569,,,,,,,,
428,,,,,,,,
359,,,,,,,,
629,,,,,,,,
429,,,,,,,,
528,,,,,,,,
459,,,,,,,,
658,,,,,,,,
558,,,,,,,,
758,,,,,,,,
958,,,,,,,,
3799,,,,,,,,
4599,,,,,,,,
3299,,,,,,,,
4299,,,,,,,,
4599,,,,,,,,
2799,,,,,,,,
3799,,,,,,,,
4599,,,,,,,,
4299,,,,,,,,
3799,,,,,,,,
2799,,,,,,,,
3299,,,,,,,,
3799,,,,,,,,
4299,,,,,,,,
4599,,,,,,,,
5399,,,,,,,,
5399,,,,,,,,
5399,,,,,,,,
5399,,,,,,,,
5399,,,,,,,,
5399,,,,,,,,
200,,,,,,,,
200,,,,,,,,
5399,,,,,,,,
200,,,,,,,,
5399,,,,,,,,
3699,,,,,,,,
5399,,,,,,,,
5399,,,,,,,,
5399,,,,,,,,
4999,,,,,,,,
3699,,,,,,,,
4199,,,,,,,,
5399,,,,,,,,
4999,,,,,,,,
5399,,,,,,,,
5399,,,,,,,,
5399,,,,,,,,
3699,,,,,,,,
4999,,,,,,,,
4199,,,,,,,,
5399,,,,,,,,
200,,,,,,,,
339,,,,,,,,
379,,,,,,,,
299,,,,,,,,
478,,,,,,,,
588,,,,,,,,
708,,,,,,,,
708,,,,,,,,
588,,,,,,,,
329,,,,,,,,
399,,,,,,,,
349,,,,,,,,
379,,,,,,,,
399,,,,,,,,
468,,,,,,,,
399,,,,,,,,
299,,,,,,,,
399,,,,,,,,
399,,,,,,,,
339,,,,,,,,
369,,,,,,,,
598,,,,,,,,
698,,,,,,,,
279,,,,,,,,
299,,,,,,,,
469,,,,,,,,
529,,,,,,,,
569,,,,,,,,
619,,,,,,,,
999,,,,,,,,
1199,,,,,,,,
1299,,,,,,,,
198,,,,,,,,
238,,,,,,,,
338,,,,,,,,
488,,,,,,,,
688,,,,,,,,
799,,,,,,,,
799,,,,,,,,
799,,,,,,,,
1199,,,,,,,,
398,,,,,,,,
598,,,,,,,,
838,,,,,,,,
998,,,,,,,,
398,,,,,,,,
598,,,,,,,,
698,,,,,,,,
